RegionID,SizeRank,RegionName,RegionType,State Name,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021,31-01-2022,28-02-2022,31-03-2022,30-04-2022,31-05-2022,30-06-2022,31-07-2022,31-08-2022,30-09-2022,31-10-2022,30-11-2022,31-12-2022,31-01-2023,28-02-2023
395109,160,"Spartanburg, SC",msa,Colorado,152777,154527,156523,157519,157230,155062,159554,160903,165377,165344,167578,169714,169473,169283,167996,170619,172578,172778,172955,173357,177891,178560,178454,179916,186010,190289,193513,193134,194166,193690,193927,197486,200411,203099,207305,211759,214518,216783,218479,223383,225013,226396,230820,231143,237924,236963,244973,246464,247924,246866,246173,245443,243482,240070,241426
394645,161,"Greeley, CO",msa,Texas,325531,326669,328105,333855,336461,334670,327372,330086,333846,342140,340662,343091,342008,344852,346900,348058,349461,350578,348457,351473,353984,358477,358465,360021,364578,370082,374948,379544,383641,385501,385142,390957,401194,415409,424387,430481,434094,436140,438578,443607,451292,454354,459454,467126,479045,490961,497162,497491,490011,483963,480121,480902,477715,470027,467446
394808,162,"Lubbock, TX",msa,Tennessee,158385,160097,158830,158292,159945,160199,166599,163439,165879,163862,166972,167990,168433,167963,170382,168559,167741,162436,166492,168923,174398,173257,174856,179107,182342,185885,182527,187128,186099,189808,188233,189925,187927,191101,196687,204320,203081,204726,205091,210872,210127,207721,205288,214132,220212,226110,226235,228494,228405,224377,224685,221806,219295,221698,221048
394471,163,"Clarksville, TN",msa,Virginia,163738,165300,164931,164081,163839,164203,166845,165515,171393,174694,178590,177617,177551,177314,175266,174688,175079,179522,180120,180339,181586,184030,185638,185810,189591,195294,200520,205040,207010,207799,206791,205776,213243,220308,229940,229556,233064,236117,242204,245934,246284,246517,252086,263190,273386,275862,279904,279828,276400,268547,267477,271632,268747,265685,261654
395028,164,"Roanoke, VA",msa,Indiana,173545,177184,179290,179724,178338,181086,182582,182740,180140,182877,183607,187652,191716,189127,188878,188476,193897,195583,193821,197216,199708,201359,200032,201524,209132,215606,221852,221901,221768,219692,219039,218955,215749,219334,218157,221718,217766,226372,230546,235073,236043,234919,235999,234206,241871,249998,256027,254153,251038,246496,250099,244945,244352,246375,248301
394579,165,"Evansville, IN",msa,Tennessee,143381,141842,141945,146033,147204,145900,144354,145966,147240,150484,147502,147859,149967,155223,157422,158282,157110,157027,156950,155000,153108,150578,151692,154258,159004,164925,167458,167021,165601,166736,169099,169113,170604,170914,174887,181516,183107,184512,181189,180379,180882,178268,178548,176293,183502,187981,193091,186395,186027,182766,187785,186855,185587,178154,182835
394747,167,"Kingsport, TN",msa,Washington,128519,130162,131492,131200,127895,128946,131948,136092,135794,131564,133249,134299,139229,138535,144157,148301,148104,146946,141493,144793,145863,148102,148655,148480,153070,153389,154185,157290,157250,159152,156000,159912,162593,163877,164827,164870,168874,166238,168350,168774,175542,174677,174010,172364,174773,183851,186359,189658,188505,188892,190663,184901,186821,187704,197851
394741,168,"Kennewick, WA",msa,New York,275284,276417,275689,270518,266762,268134,270737,275632,278703,283149,297183,300971,303239,298149,302642,304970,306994,304560,300725,300978,302829,304708,301535,310656,315703,324931,324663,328503,326120,328686,329017,333380,331848,339338,347598,360362,369918,372595,376229,371377,377768,384153,394478,401006,405812,406840,408355,409722,407825,409986,409330,405366,400396,392151,395262
395179,169,"Utica, NY",msa,Maryland,118320,120539,120976,124090,124695,126834,129238,129056,127372,122179,126075,126548,129303,127904,132048,134210,135090,136074,134750,136374,135613,138010,137697,138406,137442,139416,143169,147683,149337,149589,151709,152517,157894,160935,160685,158141,156387,159193,162631,162750,164778,166944,169729,173089,171269,172027,168205,169705,175066,181982,183313,179733,173807,174263,175614
394660,170,"Hagerstown, MD",msa,Minnesota,181842,182150,182278,180637,185269,188518,186541,185008,183719,187846,188953,189965,189452,188739,191584,191052,197398,199541,206029,204554,207095,206802,209271,209987,213573,216764,220209,223545,221424,221537,222510,228683,231113,226997,227980,230242,235602,238647,242533,248040,251208,254180,253974,259705,262563,271150,269451,273383,267049,265655,259049,260649,262635,263038,259743
394543,171,"Duluth, MN",msa,Texas,150547,152581,150186,152322,152655,155299,153522,153872,156239,158916,159464,158142,157849,154821,154153,157896,157828,154974,153771,156585,167964,172921,176161,173953,173062,179762,183734,185054,184048,183442,180136,178303,179835,187869,192434,191104,193284,194970,200179,198697,196529,191000,193356,195558,199617,204898,207462,210317,209534,214577,217427,216767,210652,200757,209549
394803,173,"Longview, TX",msa,North Carolina,,,,,163793,158853,160834,159306,166273,171647,175615,173409,176200,172150,175003,169360,171500,162767,164948,162858,170029,168734,178076,177095,180628,183777,190875,196341,192285,192969,192709,196247,199235,200712,205738,209766,216161,216856,219817,220444,224487,223595,225386,231299,238906,242585,242312,240972,240531,244173,241790,244892,247117,247131,249358
395229,174,"Wilmington, NC",msa,California,231789,231838,235471,237412,233241,237006,237309,241046,236985,239116,239485,242365,245016,255037,256338,264021,256628,256455,256015,263029,265308,260557,259528,270710,283132,293437,296394,295731,295593,293575,294294,298430,297868,305028,305873,315248,316200,319506,319502,325051,329869,339482,342903,347558,357876,368947,379474,382983,382972,379058,379226,376882,373098,366661,375565
395061,175,"San Luis Obispo, CA",msa,Florida,577814,593290,584667,587144,574875,580913,573741,576988,583981,581065,584410,580703,581450,583284,583748,585754,585560,593387,601459,600228,583699,570287,576581,585225,612555,619529,639894,648973,666842,668099,660309,659553,685765,702397,722952,720936,734230,725005,733145,733998,747588,762834,780969,790539,799322,815218,837603,828383,809502,792252,774618,788494,787666,784067,775213
